date,industry_name,holding_count
2021-06-30,专用设备制造业,2
2021-06-30,仪器仪表制造业,1
2021-06-30,化学原料和化学制品制造业,5
2021-06-30,医药制造业,3
2021-06-30,批发业,1
2021-06-30,橡胶和塑料制品业,1
2021-06-30,水上运输业,1
2021-06-30,电气机械和器材制造业,3
2021-06-30,综合,1
2021-06-30,计算机、通信和其他电子设备制造业,4
2021-06-30,软件和信息技术服务业,3
2021-06-30,通用设备制造业,1
2021-06-30,酒、饮料和精制茶制造业,3
2021-06-30,零售业,1
2021-09-30,专用设备制造业,1
2021-09-30,化学原料和化学制品制造业,5
2021-09-30,有色金属冶炼和压延加工业,1
2021-09-30,煤炭开采和洗选业,3
2021-09-30,电力、热力生产和供应业,8
2021-09-30,电气机械和器材制造业,3
2021-09-30,石油和天然气开采业,1
2021-09-30,纺织业,1
2021-09-30,计算机、通信和其他电子设备制造业,1
2021-09-30,软件和信息技术服务业,1
2021-09-30,通用设备制造业,1
2021-09-30,金属制品业,3
2021-09-30,非金属矿物制品业,1
2021-12-31,专用设备制造业,5
2021-12-31,互联网和相关服务,2
2021-12-31,仪器仪表制造业,1
2021-12-31,化学原料和化学制品制造业,3
2021-12-31,医药制造业,6
2021-12-31,新闻和出版业,1
2021-12-31,汽车制造业,1
2021-12-31,石油加工、炼焦和核燃料加工业,1
2021-12-31,软件和信息技术服务业,1
2021-12-31,通用设备制造业,2
2021-12-31,道路运输业,2
2021-12-31,金属制品业,1
2021-12-31,零售业,1
2021-12-31,非金属矿物制品业,2
2021-12-31,黑色金属冶炼和压延加工业,1
2022-03-31,专业技术服务业,1
2022-03-31,专用设备制造业,1
2022-03-31,仪器仪表制造业,1
2022-03-31,农业,1
2022-03-31,农副食品加工业,1
2022-03-31,化学原料和化学制品制造业,2
2022-03-31,医药制造业,10
2022-03-31,土木工程建筑业,2
2022-03-31,房地产业,6
2022-03-31,批发业,1
2022-03-31,煤炭开采和洗选业,2
2022-03-31,软件和信息技术服务业,1
2022-03-31,通用设备制造业,1
2022-06-30,专用设备制造业,1
2022-06-30,公共设施管理业,1
2022-06-30,农副食品加工业,1
2022-06-30,化学原料和化学制品制造业,5
2022-06-30,有色金属冶炼和压延加工业,1
2022-06-30,橡胶和塑料制品业,1
2022-06-30,汽车制造业,3
2022-06-30,煤炭开采和洗选业,2
2022-06-30,电气机械和器材制造业,8
2022-06-30,计算机、通信和其他电子设备制造业,2
