,0
start_date,2005-01-31
end_date,2026-06-16
benchmark,000906.XSHG
initial_cash,1000000.0
rebalance_frequency,quarterly
hold_count,30
sell_rank,60
target_gross_exposure,0.98
min_listed_trading_days,273
min_price,2.0
min_avg_turnover_20,30000000.0
min_market_cap,3000000000.0
exclude_financials,True
weighting,inv_vol
trading_cost_bps,15.0
trend_weight,0.45
breakout_weight,0.2
quality_weight,0.2
risk_weight,0.15
market_timing,True
timing_ma,240
stop_by_benchmark_drawdown,
stock_trend_filter,
stock_drawdown_stop,-0.25
stock_drawdown_mode,score_penalty
stock_drawdown_penalty,0.75
breadth_filter,
breadth_threshold,0.5
dynamic_module_weights,False
dynamic_weight_lookback,6
target_volatility,0.08
vol_control_window,60
regime_filter,False
top_industries,
portfolio_drawdown_stop,
portfolio_reentry_days,20
cash_rate_column,10Y
cash_rate_multiplier,1.5
