,0
start_date,2005-01-31
end_date,2026-06-16
annual_return,0.0748726434532645
benchmark_annual_return,0.08934374030013381
cumulative_return,3.422630437111927
benchmark_cumulative_return,4.824697192344399
max_drawdown,-0.16200717279614718
sharpe,0.9205684046514715
sortino,0.956013544275223
information_ratio,-0.18676145123688723
beta,0.14942955263956811
annual_turnover,9.889446025744903
average_period_turnover,0.07296175266814292
total_cost_drag,0.30545437754518034
final_nav,4.422630437111927
benchmark_final_nav,5.824697192344399
rebalance_count,2791
hold_count,30
sell_rank,60
weighting,inv_vol
